votes_dem,votes_gop,total_votes,state_abbr,county_name,combined_fips
3194.0,4968.0,8636.0,IA,Tama County,19171
755.0,2108.0,3003.0,IA,Taylor County,19173
1920.0,3521.0,5768.0,IA,Union County,19175
843.0,2524.0,3526.0,IA,Van Buren County,19177
5591.0,8710.0,14996.0,IA,Wapello County,19179
10371.0,14773.0,26916.0,IA,Warren County,19181
3938.0,6170.0,10824.0,IA,Washington County,19183
719.0,2069.0,2921.0,IA,Wayne County,19185
6293.0,10049.0,17239.0,IA,Webster County,19187
1920.0,3437.0,5717.0,IA,Winnebago County,19189
5238.0,5332.0,11217.0,IA,Winneshiek County,19191
16102.0,24627.0,42933.0,IA,Woodbury County,19193
1523.0,2443.0,4216.0,IA,Worth County,19195
1890.0,3790.0,5949.0,IA,Wright County,19197
75676.0,93748.0,195587.0,ID,Ada County,16001
415.0,1556.0,2183.0,ID,Adams County,16003
10342.0,17180.0,33405.0,ID,Bannock County,16005
255.0,2203.0,2928.0,ID,Bear Lake County,16007
780.0,3101.0,4192.0,ID,Benewah County,16009
2924.0,10907.0,16625.0,ID,Bingham County,16011
6416.0,3340.0,10723.0,ID,Blaine County,16013
777.0,2673.0,3812.0,ID,Boise County,16015
5140.0,10220.0,16815.0,ID,Bonner County,16017
8930.0,26699.0,44212.0,ID,Bonneville County,16019
933.0,3789.0,5150.0,ID,Boundary County,16021
160.0,914.0,1230.0,ID,Butte County,16023
110.0,410.0,599.0,ID,Camas County,16025
16683.0,46755.0,72007.0,ID,Canyon County,16027
271.0,2275.0,3035.0,ID,Caribou County,16029
1036.0,5949.0,8178.0,ID,Cassia County,16031
44.0,203.0,283.0,ID,Clark County,16033
704.0,2852.0,3801.0,ID,Clearwater County,16035
427.0,1777.0,2413.0,ID,Custer County,16037
1814.0,5816.0,8519.0,ID,Elmore County,16039
385.0,3901.0,5499.0,ID,Franklin County,16041
651.0,4091.0,5714.0,ID,Fremont County,16043
1229.0,5980.0,7952.0,ID,Gem County,16045
930.0,3743.0,5191.0,ID,Gooding County,16047
1196.0,6441.0,8223.0,ID,Idaho County,16049
976.0,8436.0,11471.0,ID,Jefferson County,16051
